datum,repo,cena m2,doba,aktivni,nove,zobrazeni
201407,005,55744,76,13178,3500,16
201408,005,56045,75,12961,3301,15
201409,005,56200,79,13202,3685,12
201410,005,56414,77,12934,3519,17
201411,005,56877,75,13120,3250,16
201412,005,57592,81,11624,2351,12
201501,005,57925,81,11801,3083,22
201502,005,58773,82,11059,3028,29
201503,005,59005,77,11037,3241,26
201504,005,59275,76,10509,2951,23
201505,005,64037,42,12045,4776,21
201506,005,60128,70,10295,3176,24
201507,005,60667,67,9528,2551,20
201508,005,60494,64,8950,2296,22
201509,005,61113,70,9876,3453,23
201510,005,61714,69,9774,3123,24
201511,005,61226,66,9471,2954,25
201512,005,62744,77,8265,1663,19
201601,005,62865,74,8030,2468,36
201602,005,63953,73,8135,2710,38
201603,005,65111,69,7641,2235,37
201604,005,66106,64,7707,2508,39
201605,005,66927,68,7547,2384,37
201606,005,67361,67,7235,2152,33
201607,005,68056,78,6755,1804,31
201608,005,68442,74,6877,2000,36
201609,005,69841,66,7085,2440,37
201610,005,70155,63,7390,2515,38
201611,005,70673,60,7527,2625,38
201612,005,70942,59,6646,1739,31
201701,005,71539,66,7239,2552,48
201702,005,72748,61,7377,2490,65
201703,005,72962,53,8053,2971,53
201704,005,73341,57,7905,2530,41
201705,005,74592,61,8094,2581,36
201706,005,76143,64,8084,2261,35
201707,005,77155,70,7526,1865,33
201708,005,77518,76,7691,2081,67
201709,025,77069,68,7777,2204,82
201710,025,77977,71,8519,2713,82
201711,025,78385,64,8188,2430,93
201712,050,79798,71,7076,1359,92
201801,050,81386,74,7754,2541,133
201802,075,82690,71,7835,2308,107
201803,075,83558,77,8027,2224,91
201804,075,83015,71,7932,2201,97
201805,075,85284,74,8237,2333,92
201806,100,86388,81,8505,2387,82
201807,100,86693,78,8062,2003,89
201808,125,87669,77,8483,2304,94
201809,150,87770,78,8636,2337,98
201810,150,87736,78,9063,2479,67
201811,175,88247,84,8805,2203,71
201812,175,88870,90,10059,3359,48
201901,175,88955,96,8441,2176,45
201902,175,89934,94,8219,1872,49
201903,175,90779,85,8355,2073,49
201904,175,91458,93,8051,1878,46
201905,200,92159,86,8184,2069,65
201906,200,93113,92,7883,1782,51
201907,200,93636,96,7626,1573,55
201908,200,93864,102,7044,1388,56
201909,200,94712,99,7166,1787,63
201910,200,94696,97,7207,1888,64
201911,200,95728,92,6993,1744,65
201912,200,97567,93,6000,954,65
202001,200,98643,99,6275,1699,93
202002,225,100712,97,6019,1447,87
202003,100,102128,91,5619,1417,80
202004,100,101115,81,5712,1519,100
202005,025,102021,62,6965,2251,97
202006,025,102074,67,7034,2035,93
202007,025,102597,72,6861,1721,92
202008,025,103356,82,6724,1730,86
202009,025,103114,80,6887,1925,88
202010,025,104765,82,6974,2016,115
202011,025,105410,76,6876,1895,108
202012,025,106886,83,6183,1270,96
202101,025,108609,90,6547,2022,130
202102,025,110503,93,6399,1787,135
202103,025,112465,86,6227,1969,144
202104,025,114870,84,6082,2016,155
202105,025,115923,86,6115,2013,141
202106,050,117734,81,5723,1949,114
202107,050,119671,90,4981,1313,99
202108,075,119484,84,4961,1472,113
202109,075,121567,80,4859,1457,111
202110,150,124007,65,4388,1559,113
202111,275,125264,61,5012,1784,120
202112,375,127164,66,4555,1210,141
202201,375,129324,76,4869,1611,176
202202,450,130339,67,4947,1473,117
202203,450,130706,62,5573,1894,117
202204,500,132612,62,5821,1822,128
202205,575,132193,60,6266,1932,79
202206,700,131416,66,6626,1952,85